user_id,Exam,item_id,score
1,2,8,64.68
1,4,23,92.89
1,4,20,70.14
1,3,17,75.71
1,4,22,32.23
1,1,4,67.12
1,3,15,134.19
1,3,12,205.51
1,1,2,71.08
1,1,3,71.43
1,4,21,124.22
1,1,5,67.12
1,1,0,84.73
1,4,18,242.09
1,2,11,40.54
1,3,16,92.11
1,3,13,30.72
1,1,1,77.28
1,2,9,71.79
2,1,2,69.55
2,4,23,89.4
2,4,20,60.77
2,3,17,87.42
2,4,22,42.93
2,1,4,93.0
2,3,15,120.4
2,3,12,205.88
2,1,5,93.0
2,1,3,70.2
2,1,1,71.73
2,3,16,94.12
2,1,0,71.93
2,4,18,242.86
2,2,8,63.95
2,2,9,75.79
2,3,13,30.82
2,2,11,51.3
2,4,21,121.85
3,4,23,88.63
3,1,2,55.02
3,4,20,67.24
3,3,17,80.9
3,4,22,25.14
3,1,4,49.38
3,1,3,55.0
3,3,15,124.3
3,3,12,204.69
3,1,5,49.38
3,1,1,51.34
3,3,13,36.0
3,2,9,64.07
3,2,11,43.08
3,4,18,234.82
3,1,0,73.42
3,3,16,86.21
3,2,8,49.3
3,4,21,116.32
4,3,12,202.02
4,3,15,132.62
4,1,4,71.43
4,1,2,70.04
4,3,17,84.74
4,4,20,70.78
4,4,23,97.55
4,4,22,34.1
4,1,5,71.43
4,1,3,74.99
4,1,1,77.56
4,2,8,58.54
4,3,16,89.0
4,1,0,60.53
4,4,18,242.95
4,4,21,115.55
4,2,9,76.02
4,3,13,17.02
4,2,11,54.12
5,3,15,128.24
5,4,23,92.94
5,4,20,63.31
5,3,17,78.64
5,4,22,27.62
5,1,4,66.61
5,1,3,67.35
5,3,12,193.97
5,1,2,68.75
5,1,5,66.61
5,4,21,123.78
5,3,16,99.86
5,1,0,79.3
5,4,18,240.29
5,2,8,60.47
5,2,9,70.48
5,3,13,30.92
5,1,1,72.4
5,2,11,38.37
6,1,2,59.14
6,4,20,68.44
6,3,17,83.6
6,4,22,32.33
6,1,4,79.87
6,1,3,59.18
6,3,15,123.13
6,3,12,199.89
6,4,23,98.88
6,1,5,79.87
6,1,1,61.61
6,2,8,64.56
6,3,16,94.64
6,1,0,64.2
6,4,21,114.9
6,2,11,56.13
6,2,9,75.19
6,3,13,31.97
6,4,18,244.05
7,1,2,55.79
7,4,20,71.0
7,3,17,82.51
7,4,22,25.27
7,1,4,68.69
7,1,3,59.07
7,3,15,122.63
7,3,12,193.71
7,4,23,106.0
7,1,5,68.69
7,1,1,60.06
7,3,13,34.08
7,2,9,61.08
7,2,11,45.62
7,4,18,242.73
7,1,0,73.87
7,3,16,96.62
7,2,8,58.68
7,4,21,113.62
8,3,12,200.58
8,3,15,122.84
8,1,4,63.69
8,1,2,72.75
8,3,17,86.0
8,4,20,66.66
8,4,23,93.55
8,4,22,24.09
8,1,5,63.69
8,1,3,71.23
8,1,1,75.7
8,2,8,68.24
8,3,16,99.66
8,1,0,74.26
8,4,18,240.72
8,4,21,126.72
8,2,9,72.79
8,3,13,23.63
8,2,11,44.05
9,3,15,128.26
9,4,23,101.58
9,4,20,66.4
9,3,17,88.08
9,4,22,26.82
9,1,4,87.74
9,1,3,79.78
9,3,12,197.56
9,1,2,81.63
9,1,5,87.74
9,4,21,119.24
9,1,1,86.1
9,3,13,22.07
9,2,9,75.56
9,2,11,61.03
9,4,18,236.45
9,1,0,77.95
9,3,16,95.98
9,2,8,53.55
10,1,3,64.42
10,1,4,64.92
10,4,22,26.2
10,3,15,126.37
10,4,20,69.68
10,4,23,93.47
10,3,12,198.76
10,3,17,70.95
10,1,2,62.62
10,1,5,64.92
10,4,21,116.9
10,3,16,97.78
10,1,0,76.97
10,4,18,246.57
10,2,8,66.44
10,2,9,70.86
10,3,13,35.3
10,1,1,61.08
10,2,11,41.59
11,3,12,186.91
11,4,23,101.36
11,4,20,60.13
11,3,17,87.12
11,4,22,36.76
11,1,4,85.18
11,1,3,79.18
11,3,15,127.54
11,1,2,79.36
11,1,5,85.18
11,4,21,116.16
11,3,16,90.93
11,1,0,49.07
11,4,18,237.32
11,2,8,60.33
11,2,9,82.15
11,3,13,36.0
11,1,1,82.14
11,2,11,50.94
12,1,2,79.27
12,4,20,71.0
12,3,17,83.86
12,4,22,27.74
12,1,4,79.08
12,1,3,76.81
12,3,15,131.4
12,3,12,196.19
12,4,23,102.45
12,1,5,79.08
12,1,1,79.93
12,2,8,62.64
12,3,16,97.55
12,1,0,76.43
12,4,21,124.87
12,2,11,60.59
12,2,9,75.79
12,3,13,36.0
12,4,18,242.08
13,4,23,97.77
13,4,20,71.0
13,3,17,77.84
13,4,22,36.42
13,1,4,82.68
13,1,3,94.17
13,3,15,134.83
13,1,2,93.58
13,3,12,204.42
13,1,5,82.68
13,1,1,96.39
13,3,13,33.56
13,2,9,87.85
13,2,11,50.39
13,4,18,240.65
13,1,0,75.61
13,3,16,101.99
13,2,8,64.27
13,4,21,117.68
14,3,12,185.48
14,3,15,135.48
14,1,3,70.08
14,1,2,65.88
14,4,22,33.23
14,3,17,79.44
14,4,20,69.2
14,1,4,63.48
14,4,23,96.63
14,1,5,63.48
14,1,1,70.96
14,2,8,71.0
14,3,16,98.12
14,1,0,54.46
14,4,21,117.27
14,2,11,44.2
14,2,9,76.98
14,3,13,29.24
14,4,18,245.18
15,1,2,73.49
15,4,20,68.07
15,3,17,85.96
15,4,22,44.37
15,1,4,91.14
15,1,3,72.05
15,3,15,125.97
15,3,12,206.46
15,4,23,101.79
15,1,5,91.14
15,1,1,67.52
15,3,13,30.26
15,2,9,75.09
15,2,11,64.73
15,4,18,239.88
15,1,0,68.97
15,3,16,104.06
15,2,8,70.23
15,4,21,125.4
16,3,12,203.49
16,3,15,122.25
16,1,4,66.04
16,1,2,57.77
16,3,17,78.58
16,4,20,70.91
16,4,23,94.68
16,4,22,31.63
16,1,5,66.04
16,1,3,60.34
16,1,1,61.97
16,2,8,57.01
16,3,16,100.82
16,1,0,76.51
16,4,18,248.03
16,4,21,115.29
16,2,9,67.09
16,3,13,20.44
16,2,11,43.94
17,3,15,124.11
17,4,23,100.47
17,4,20,67.32
17,3,17,93.91
17,4,22,39.3
17,1,4,89.09
17,1,3,93.77
17,3,12,194.21
17,1,2,92.85
17,1,5,89.09
17,4,21,133.79
17,1,1,83.19
17,3,13,36.0
17,2,9,76.69
17,2,11,54.78
17,4,18,227.7
17,1,0,63.9
17,3,16,95.77
17,2,8,62.74
18,1,3,50.41
18,1,4,58.6
18,4,22,24.72
18,3,15,128.25
18,4,20,56.94
18,4,23,106.0
18,3,12,198.13
18,3,17,80.5
18,1,2,51.64
18,1,5,58.6
18,4,21,115.29
18,3,16,91.08
18,1,0,53.48
18,4,18,242.97
18,2,8,59.39
18,2,9,69.2
18,3,13,22.46
18,1,1,50.64
18,2,11,45.7
19,3,12,187.97
19,4,23,92.84
19,4,20,55.36
19,3,17,89.45
19,4,22,27.27
19,1,4,79.08
19,1,3,79.1
19,3,15,136.68
19,1,2,78.37
19,3,13,36.0
19,4,21,126.74
19,1,1,81.73
19,2,9,78.69
19,2,11,55.46
19,4,18,241.35
19,1,0,63.2
19,3,16,94.45
19,2,8,65.04
19,1,5,79.08
20,1,4,69.91
20,1,3,66.13
20,4,22,24.55
20,3,15,113.01
20,4,20,71.0
20,4,23,89.71
20,3,12,197.88
20,3,17,81.88
20,1,2,63.53
20,1,5,69.91
20,4,21,119.91
20,3,16,97.55
20,1,0,73.55
20,4,18,238.63
20,2,8,62.59
20,2,9,70.41
20,3,13,34.19
20,1,1,62.44
20,2,11,53.69
21,3,12,208.26
21,4,23,93.51
21,4,20,63.27
21,3,17,82.86
21,4,22,36.69
21,1,4,74.8
21,1,3,44.45
21,3,15,116.1
21,1,2,45.28
21,1,5,74.8
21,4,21,112.38
21,3,16,93.48
21,1,0,93.43
21,4,18,249.0
21,2,8,55.37
21,2,9,64.01
21,3,13,34.64
21,1,1,40.35
21,2,11,46.72
22,3,12,199.55
22,4,23,94.01
22,4,20,66.91
22,3,17,81.46
22,4,22,22.18
22,1,4,53.09
22,1,3,66.41
22,3,15,136.44
22,1,2,63.27
22,1,5,53.09
22,4,21,114.12
22,3,16,95.8
22,1,0,76.79
22,4,18,233.75
22,2,8,66.12
22,2,9,79.98
22,3,13,34.21
22,1,1,65.64
22,2,11,35.7
23,3,12,201.68
23,4,23,97.87
23,4,20,61.64
23,3,17,87.87
23,4,22,32.45
23,1,4,65.25
23,1,3,43.15
23,3,15,111.95
23,1,2,43.46
23,1,5,65.25
23,4,21,111.17
23,3,16,89.83
23,1,0,58.55
23,4,18,242.86
23,2,8,62.41
23,2,9,65.14
23,3,13,36.0
23,1,1,43.91
23,2,11,50.05
24,1,2,52.17
24,4,20,64.39
24,3,17,80.91
24,4,22,37.88
24,1,4,65.97
24,1,3,52.13
24,3,15,123.58
24,3,12,192.88
24,4,23,87.77
24,1,5,65.97
24,1,1,55.14
24,2,8,56.65
